,name,company,year,Price,kms_driven,fuel_type,Transmission Type,No. of Previous Owners
139,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol,Manual,4
140,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel,Automatic,5
141,Renault Duster,Renault,2014,449999,50000,Diesel,Manual,2
142,Honda Amaze,Honda,2015,344999,22000,Petrol,Manual,4
143,Nissan Sunny,Nissan,2012,224999,45000,Petrol,Automatic,1
144,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol,Manual,2
145,Renault Kwid,Renault,2016,244999,11000,Petrol,Manual,1
146,Renault Duster,Renault,2013,399999,41000,Diesel,Automatic,1
147,Ford EcoSport,Ford,2017,489999,39000,Petrol,Automatic,1
148,Renault Duster,Renault,2014,474999,50000,Diesel,Manual,4
149,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel,Manual,4
150,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol,Manual,1
151,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol,Manual,3
152,Datsun Redi GO,Datsun,2016,245000,7000,Petrol,Manual,2
153,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel,Manual,2
154,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel,Manual,3
155,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel,Automatic,5
156,Toyota Etios GD,Toyota,2013,275000,24800,Petrol,Manual,1
157,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel,Manual,3
158,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol,Manual,1
159,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel,Automatic,5
160,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel,Automatic,5
161,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel,Manual,2
162,Mahindra Scorpio VLX,Mahindra,2014,699000,50000,Diesel,Manual,1
163,Tata Indigo CS,Tata,2011,85000,11400,Diesel,Manual,4
164,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol,Manual,1
165,Honda City 1.5,Honda,2014,549000,39000,Petrol,Automatic,3
166,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel,Automatic,4
167,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol,Manual,3
168,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel,Manual,4
169,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel,Manual,4
170,Honda Brio,Honda,2012,224999,30000,Petrol,Automatic,3
171,Ford Fiesta,Ford,2011,274999,55000,Diesel,Manual,3
172,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual,3
173,Honda City,Honda,2015,599999,30000,Diesel,Automatic,4
174,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol,Automatic,3
175,Honda City,Honda,2014,544999,45000,Diesel,Automatic,5
176,Hyundai i20,Hyundai,2009,199000,31000,Petrol,Automatic,3
177,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Automatic,1
178,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Automatic,2
179,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Automatic,3
180,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,Manual,5
181,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,Manual,5
182,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Automatic,2
183,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol,Manual,3
184,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol,Manual,1
185,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol,Automatic,2
186,Honda City,Honda,2015,448999,54000,Petrol,Manual,2
187,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol,Manual,2
188,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel,Manual,5
189,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel,Manual,4
190,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel,Manual,4
191,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol,Manual,4
192,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol,Manual,4
193,Tata Nano Cx,Tata,2013,40000,2200,Petrol,Manual,2
194,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol,Automatic,3
195,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol,Automatic,2
196,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol,Automatic,5
197,Tata Sumo Victa,Tata,2012,285000,65000,Diesel,Automatic,3
198,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol,Manual,1
199,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol,Manual,5
200,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel,Manual,3
201,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Manual,3
202,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Automatic,5
203,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Manual,5
204,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,Manual,2
205,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Automatic,2
206,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,Automatic,3
207,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,Automatic,1
208,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,Automatic,4
209,Force Motors Force,Force,2015,580000,3200,Diesel,Manual,5
210,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel,Automatic,5
211,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel,Manual,3
212,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol,Automatic,3
213,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel,Manual,1
214,Toyota Etios,Toyota,2011,275000,36000,Diesel,Automatic,1
215,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel,Automatic,5
216,Honda City ZX,Honda,2008,110000,45000,Petrol,Manual,3
217,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol,Automatic,4
218,Honda City VX,Honda,2016,519000,52000,Diesel,Automatic,5
219,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel,Manual,1
220,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,Automatic,3
221,Audi A4 1.8,Audi,2009,699000,47000,Petrol,Automatic,4
222,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel,Manual,5
223,Land Rover Freelander,Land,2015,2100000,30000,Diesel,Manual,3
224,Renault Kwid RXT,Renault,2017,340000,5000,Petrol,Automatic,2
225,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel,Manual,5
226,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol,Automatic,2
227,Datsun GO T,Datsun,2016,245000,7000,Petrol,Automatic,4
228,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Manual,3
229,Tata Indigo eCS,Tata,2016,320000,175400,Diesel,Automatic,2
230,Honda Jazz VX,Honda,2016,450000,41000,Petrol,Automatic,2
231,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol,Automatic,5
232,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual,4
233,Honda City,Honda,2012,399999,45000,Petrol,Automatic,2
234,Honda City,Honda,2015,599999,39000,Diesel,Automatic,2
235,Honda Amaze,Honda,2015,344999,22000,Petrol,Automatic,5
236,Audi A4 1.8,Audi,2009,699000,47000,Petrol,Manual,3
237,Force Motors Force,Force,2015,580000,3200,Diesel,Automatic,2
238,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Automatic,5
239,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel,Manual,1
240,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual,5
241,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol,Manual,4
242,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,Manual,4
243,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual,3
244,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol,Manual,5
245,Tata Sumo Gold,Tata,2013,300000,50000,Diesel,Automatic,3
246,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol,Manual,4
247,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol,Manual,1
248,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol,Automatic,5
249,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel,Manual,1
250,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel,Automatic,2
251,Ford Figo Diesel,Ford,2014,195000,50000,Diesel,Automatic,5
252,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol,Manual,2
253,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol,Automatic,1
254,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol,Manual,4
255,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol,Manual,5
256,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol,Automatic,4
257,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel,Automatic,4
258,Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol,Automatic,2
259,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol,Manual,1
260,Mini Cooper S,Mini,2013,1891111,13500,Petrol,Manual,4
261,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel,Automatic,4
262,Renault Duster 85,Renault,2013,489999,27000,Diesel,Automatic,4
263,Renault Duster 85,Renault,2014,489999,59000,Diesel,Automatic,4
264,Renault Duster 85,Renault,2015,549999,19000,Diesel,Manual,2
265,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol,Manual,4
266,Renault Kwid RXT,Renault,2018,325000,15000,Petrol,Manual,5
267,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol,Manual,2
268,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol,Manual,5
269,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,Automatic,5
270,Renault Scala RxL,Renault,2014,349999,49000,Diesel,Manual,2
271,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol,Automatic,1
272,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol,Manual,5
273,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol,Manual,1
274,Tata Indigo eCS,Tata,2016,320000,175430,Diesel,Manual,4
275,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol,Manual,2
276,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel,Automatic,4
277,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol,Automatic,4
278,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel,Automatic,3
279,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol,Automatic,5
280,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol,Manual,5
281,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel,Automatic,5
282,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel,Manual,5
283,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol,Manual,1
284,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel,Automatic,2
285,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Automatic,5
286,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Manual,4
287,Tata Indica V2,Tata,2008,150000,11000,Petrol,Manual,3
288,Mini Cooper S,Mini,2013,1891111,13000,Petrol,Automatic,3
289,Tata Indigo CS,Tata,2009,72500,46000,Diesel,Automatic,1
290,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol,Manual,5
291,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel,Manual,5
292,Honda Accord,Honda,2009,175000,58559,Petrol,Automatic,5
293,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel,Automatic,4
294,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel,Automatic,3
295,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel,Manual,1
296,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel,Automatic,1
297,Honda Amaze,Honda,2014,299999,37000,Petrol,Manual,2
298,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol,Manual,5
299,Honda City,Honda,2011,284999,55000,Petrol,Manual,4
300,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel,Manual,2
301,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel,Manual,4
302,Honda City,Honda,2015,644999,39000,Petrol,Automatic,2
303,Honda Mobilio,Honda,2014,399999,44000,Petrol,Automatic,4
304,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol,Manual,2
305,Honda City,Honda,2014,584999,39000,Petrol,Manual,5
306,Skoda Laura,Skoda,2012,349999,44000,Diesel,Manual,2
307,Renault Duster,Renault,2015,449999,49000,Diesel,Automatic,5
308,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel,Automatic,1
309,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel,Manual,3
310,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel,Manual,3
311,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel,Automatic,3
312,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel,Automatic,1
313,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol,Automatic,3
314,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel,Automatic,4
315,Honda Amaze,Honda,2014,274999,35000,Petrol,Manual,1
316,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel,Manual,3
317,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel,Automatic,5
318,Skoda Laura,Skoda,2013,374999,50000,Diesel,Automatic,4
319,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel,Automatic,4
320,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol,Manual,5
321,Tata Manza Aura,Tata,2012,130000,72000,Diesel,Automatic,5
322,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol,Manual,3
323,Renault Duster 110,Renault,2012,501000,38000,Diesel,Manual,4
324,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel,Automatic,1
325,Audi A4 2.0,Audi,2012,1350000,40000,Diesel,Manual,4
326,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol,Automatic,3
327,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel,Automatic,5
328,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel,Automatic,5
329,Renault Scala RxL,Renault,2015,375000,25000,Diesel,Automatic,2
330,Mahindra Quanto C8,Mahindra,2013,375000,20000,Diesel,Manual,4
331,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol,Manual,3
332,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol,Automatic,5
333,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel,Manual,2
334,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol,Manual,3
335,Hyundai i20,Hyundai,2014,449999,23000,Petrol,Manual,2
336,Hyundai Eon,Hyundai,2014,174999,14000,Petrol,Automatic,3
337,Hyundai i10,Hyundai,2012,244999,38000,Petrol,Manual,3
338,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel,Manual,1
339,Datsun Redi GO,Datsun,2017,244999,22000,Petrol,Automatic,5
340,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol,Manual,5
341,Hyundai Accent,Hyundai,2010,99999,45000,Petrol,Manual,5
342,Hyundai Verna,Hyundai,2014,489999,44000,Diesel,Automatic,4
343,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel,Automatic,4
344,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel,Manual,4
345,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol,Manual,3
346,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel,Manual,2
347,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel,Manual,2
348,Honda City 1.5,Honda,2010,240000,400000,Petrol,Manual,3
349,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol,Automatic,5
350,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel,Manual,5
351,Renault Duster 110PS,Renault,2012,501000,35000,Diesel,Manual,2
352,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel,Manual,2
353,Tata Indigo eCS,Tata,2014,250000,40000,Diesel,Manual,3
354,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel,Automatic,3
355,Force Motors Force,Force,2015,580000,3200,Diesel,Manual,3
